,channelName,subscriberCount,videoCount,likeCount,dislikeCount,viewCount,commentCount,recentFrequency
0,류정란,91597,119,176722,4173,8492311,31323,4.67
1,진용진,672172,74,841525,21003,51628277,160860,4.0
2,꿀템TV_클템_유튜브,281898,199,215353,7439,29278958,84346,10.17
3,침착맨,513187,199,235281,11058,19220479,65554,16.33
4,슈카월드,238908,143,219081,11210,17693465,35182,5.17
5,장범준,334226,51,296080,3872,25125072,28766,1.5
6,Mickey_Seo,69219,48,66063,1325,2717636,11899,2.0
7,주간이상준,207266,50,61736,4081,6353382,13705,2.17
8,따효니DDaHyoNi,168598,200,42712,3179,9058462,16926,14.5
9,LeoJ_Makeup,342851,33,149595,3293,7564053,14641,1.17
10,HOONION,237208,70,201917,4700,7415364,49819,2.83
