인덱스,장르,유튜버아이디,구독자 수,유튜브링크,인스타 링크,인스타 링크 2,인스타 링크3
1,브이로그,Ha Neul오늘의 하늘,79만,UCW-rU_ZE4dAKDejWdTAKmoA,https://www.instagram.com/haneulina,,
2,브이로그,여정을떠난여정,72만,UCsU2RlGgybcLzfmBqnTx-Rw,https://www.instagram.com/seon_y_j/?hl=en,,
3,브이로그,"안구정화TV, Your Korean Friend",67만,UCaPQb6zHlBXzdMW_QzKh1Kw,https://www.instagram.com/__angoo/,,
4,브이로그,ondo온도,62만,UCSn90DAxCF3yRs6mFK0-8TA,https://www.instagram.com/on_do__/,,
5,브이로그,소진소진,55만,UClSFlUAMQ-Yv002g8LlCqgQ,https://www.instagram.com/sojin282/,,
6,브이로그,영기TV,52만,UCWuWpKhbGev8Za4J-jfdSXw,https://www.instagram.com/kisy0729/,,
7,브이로그,Sophie Kim_하은,52만,UCZe_uzZ6VLMXtwW2V9-VvpQ,https://www.instagram.com/sophie.h.k/,,
8,브이로그,혜서니,51만,UCuD_5vico-nuukZPXGrNYlQ,https://www.instagram.com/hyesunee/,,
9,브이로그,sojoong쏘야쭝아,51만,UCENNpEHHCiZGb2dk1MHml7Q,https://www.instagram.com/endears_o/,https://www.instagram.com/joongwoojo/,
10,브이로그,샒의 삶Serim's life,48만,UC0ssa8zC_3oif4iZcUe5VUg,https://www.instagram.com/serim.hong.50/,,
11,브이로그,석준이가해,47만,UCnNfsLEukKS1ExbQ4HyGjBA,https://www.instagram.com/psj9434/,https://www.instagram.com/summe_reum/,
12,브이로그,밤비걸Bambigirl,46만,UCoc7dhgfCpAMMB6UNEdTtJQ,https://www.instagram.com/hi_bambigirl/,,
13,브이로그,오예커플스토리,42만,UCbDeLCyqxaZnLZDYpd5rnrA,https://www.instagram.com/yeseul0104/,https://www.instagram.com/jung_g_o/,
14,브이로그,이루리ILULIY,41만,UCG0JecZ4QvGGfO-asHGhCIA,https://www.instagram.com/iluliy/,,
15,브이로그,창이의일상,33만,UCZ9vdyLmGse1LRHEY1HNYig,https://www.instagram.com/bbc0526/,,
16,브이로그,여락이들_,30만,UCgDlijNPh7yHQNv0YdL11fQ,https://www.instagram.com/youlakk/,,
17,브이로그,악어의사생활,33만,UCkmzHPB67JpEf2S5Ux9bfDg,https://www.instagram.com/acau1197/,,
18,코믹,유준호,85만,UCj0ElpMSiesbvyed1SZ-brw,https://www.instagram.com/yuferesia/,,
19,코믹,Cuckoo Crew,83만,UCBI8xZYkJJIec2-gyX7KcpQ,https://www.instagram.com/cuckoocrew/,,
20,코믹,사나이김기훈,81만,UC9nFMAQcn0bqIrEV9vUdU1g,https://www.instagram.com/monkey.d.kihoon/,,
21,코믹,송대익,75만,UCW_WhXrfK3uPgljcdjFbsbg,https://www.instagram.com/songdaeik,,
22,코믹,quaddurup,67만,UCkQCwnkQfgSuPTTnw_Y7v7w,https://www.instagram.com/real_quaddurup/,,
23,코믹,JayJay제이제이,56만,UCxp9XKFw-lMTlIa_2yrfdqQ,https://www.instagram.com/magicianjhl/,,
24,토크,윰댕(yum-cast),86만,UCoDLLyiqum2JOBI4Dty8eUA,https://www.instagram.com/yumcast11/,,
25,토크,러너 꽃빈TV,75만,UC9JlObZnbOirT4_iyPGrdcw,https://www.instagram.com/flowervin7/,,
26,토크,핫도그TV,68만,UC5Ida86tt8QKa4Myw7idxNg,https://www.instagram.com/hotdog_tv_/,,
27,토크,이설 LeeSeol,52만,UCHqvLC2ilL2M4_SpoFiWtuQ,https://www.instagram.com/leeseol00/,,
28,토크,코코TV,51만,UCI5NWzolgDXp6-zeZ3wQ88A,https://www.instagram.com/coco20002/,,
29,토크,유소나,49만,UCxeWKVovE_mKNRCwAlpL87A,https://www.instagram.com/usona_official/,,
30,토크,꽃자,45만,UC0BPsIEZ5cMuedvzQO3J1jw,https://www.instagram.com/24x01/,,
31,토크,선민_sunmin,33만,UCYykroDCvkyslfYNvJtencA,https://www.instagram.com/seonminj/,,
32,토크,김달,32만,UCEwmUXNK69iAugMEahY7glA,http://www.instagram.com/u12486,,
33,토크,오마르의 삶,31만,UCvdvPu_7TTcrZz1nGh98Sqg,https://www.instagram.com/omarinrainbow,,
34,토크,단희TV,23만,UCOMG2V-vUgYX0aHiBDbBTyg,https://www.instagram.com/kokomimi77/,,
35,토크,날라리데이브!,22만,UCaWOQq12LbtZ8n02lTYBbuA,https://www.instagram.com/nalaridave/,,
36,토크,거의 한국인 / Almost Koreans,12만,UCm-4I6ACQ9qFj-M_8xynf5g,https://www.instagram.com/mjangarax/,,
37,토크,초승달,11만,UCxx7UvIhPkEQxaplaWS2hLg,https://www.instagram.com/twitch.seungdal/,,
38,토크,브베 스트리밍,8만,UCz1A9dqnK1fS0f92OG_voEw,https://www.instagram.com/8beube8/,,
39,영화,고몽,88만,UCpcft4FJXgUjnxWoQYsl7Ug,https://www.instagram.com/gomongtube/,https://www.instagram.com/gomongyoutube/,
40,영화,지무비 : G Movie,68만,UCaHGOzOyeYzLQeKsVkfLEGA,https://www.instagram.com/G_movie__/,https://www.instagram.com/awayout1/,
41,영화,홍시네마,39만,UCtwxuughKbSAV0e4bnz4ORg,https://www.instagram.com/hong_cinema/,,
42,영화,필름에 빠지다,41만,UCJfthTE-ACoZJPVgwyw_hsw,https://www.instagram.com/twdholic66/?hl=ko,,
43,영화,SISEONPLAY,43만,UC79hJz6y1EEiIkwfHOuWC4w,https://www.instagram.com/siseonplay/,,
44,영화,sanggung상궁,20만,UCZUjLw9C0Tt3VECAhQO9buA,https://www.instagram.com/sanggung4,,
45,영화,sonypictureskr,3만,UCY2wHBgv2W30w6lqoLxq99g,https://www.instagram.com/sonypictureskr_official/?hl=ko,,
46,영화,자취방남자,17만,UCDzpa0rTkUzxhE6h6fMKOQA,https://www.instagram.com/honza_nam_ytb/?hl=ko,,
47,영화,9bul,39만,UCb_GEWOGkCTXawWZKDtALwg,https://www.instagram.com/p/Bdj76iwFvDX/,,
48,영화,캡틴라미[captain ramy],23만,UCVE-zq_yK_InhsVaJPQEttw,https://www.instagram.com/captainramy/,,
49,영화,POWER MOVIE,53만,UCCcE8BpgFqKRP3au8tEUrAw,https://www.instagram.com/powermovie/,,
50,영화,리뷰엉이: Owl's Review,45만,UCrBpV_pG2kyMMEHCMTNzjAQ,https://www.instagram.com/owlsreview/?hl=ko,,
51,영화,민호타우로스,31만,UCiiC3grOarOVIg5LZgXJnWw,https://www.instagram.com/minhotaurs/,,
52,영화,SHOWBOX,1만,UCvvsOdnAQH4fl50DY17eV1A,https://www.instagram.com/showbox.movie/?hl=ko,,
53,영화,딩고무비 / dingo movie,9만,UC2dajIvSk458lj-0GNULGeA,https://www.instagram.com/dingo_movie/,,
54,애니메이션,Red Tomato,60만,UCqeOY0kedIjM9cfuBes4BSQ,https://www.instagram.com/redtomatotube/,,
55,애니메이션,서봄,8만,UCkQWAIUktzea2l8xT1GyVSg,https://www.instagram.com/pik4chu_44/,,
56,댄스,춤추는곰돌,66만,UCFhvPGzMa67wJTx_wiVIcSQ,https://www.instagram.com/kb0780/?hl=ko,,
57,댄스,조싀앤바믜 Josh & Bamui,43만,UC22gayxEPsQLhZXpHDjS8Qg,https://www.instagram.com/josh_bamui/,,
58,댄스,다이아나Diana,41만,UCSw7Ts6UNnjnuzpwvUC6QTw,https://www.instagram.com/diana_kct/,,
59,댄스,God DongMin갓동민,38만,UCLlfMCCErVE5VaEyHxB5AgA,https://www.instagram.com/dongmin9249/,,
60,댄스,효크포크 Krazy girl,29만,UC_iY5S04dzWViz6cOgSUpjQ,https://www.instagram.com/hyokfork/,,
61,댄스,DASURI CHOI,27만,UCWANsSFCEEeWhm_-m4T7GGg,https://www.instagram.com/dasurichoi_/,,
